date,lastSyncTime,steps,distance,runDistance,calories
2019-11-04,1573788395,5930,3951,466,125
2019-11-05,1573788395,4394,2875,400,96
2019-11-06,1573788396,12576,8794,533,294
2019-11-07,1573788396,11820,8235,622,273
2019-11-08,1573788396,13363,9417,522,309
2019-11-09,1573788396,7393,5006,519,162
2019-11-10,1573788397,13491,9343,499,306
2019-11-11,1573788397,12223,8852,337,298
2019-11-12,1573788397,5209,3432,403,111
2019-11-13,1573788397,13321,9136,648,305
2019-11-14,1573788397,12621,8778,722,290
2019-11-15,1574135738,5284,3503,388,118
2019-11-16,1574135738,7027,4627,481,142
2019-11-17,1574135739,11813,8099,619,262
2019-11-18,1574135739,9923,7073,460,233
2019-11-19,1574583951,4567,3041,330,100
2019-11-20,1574583953,11534,8110,599,274
2019-11-21,1574583954,9979,6940,583,232
2019-11-22,1574583954,11232,7769,537,260
2019-11-23,1574583955,3739,2454,387,80
2019-11-24,1574704979,12611,8753,690,292
2019-11-25,1574738494,6823,4663,279,150
2019-11-26,1575086256,4019,2663,303,93
2019-11-27,1575086257,12951,8928,601,293
2019-11-28,1575086257,15366,10737,634,351
2019-11-29,1575086257,9709,6812,419,227
2019-11-30,1575616377,2987,1953,336,69
2019-12-01,1575616377,13270,9452,338,317
2019-12-02,1575348490,12847,9259,359,301
2019-12-03,1575616378,4139,2741,365,87
2019-12-04,1575616378,11651,8204,475,277
2019-12-05,1575616378,13301,9207,744,295
2019-12-06,1575803354,4692,3134,350,105
2019-12-07,1575803354,4706,3077,385,102
2019-12-08,1575909309,6352,4406,412,156
2019-12-09,1576037577,20487,14272,1353,480
2019-12-10,1576037577,18881,13605,1055,464
2019-12-11,1576663130,5577,3769,354,123
2019-12-12,1576663130,17371,13082,424,445
2019-12-13,1576663131,11494,8322,287,281
2019-12-14,1576663132,5205,3465,300,114
2019-12-15,1576663132,12427,8730,623,289
2019-12-16,1576663134,10690,7295,701,247
2019-12-17,1576663133,12835,8816,486,287
2019-12-18,1576902254,18650,13410,589,439
2019-12-19,1576902253,11664,8135,438,264
2019-12-20,1576902254,16504,11889,434,389
2019-12-21,1577027212,3901,2563,340,86
2019-12-22,1577073518,12197,8625,501,287
2019-12-23,1577351585,4321,2904,250,93
2019-12-24,1577351585,4096,2766,264,94
2019-12-25,1577351587,17960,12893,688,432
2019-12-26,1577457653,15805,11116,820,369
2019-12-27,1577505990,13483,9444,705,312
2019-12-28,1578282419,4473,2930,383,98
2019-12-29,1578282419,11348,7952,608,276
2019-12-30,1578282419,15010,11071,287,381
2019-12-31,1578282419,15757,11498,373,377
2020-01-01,1578282420,3432,2307,230,75
2020-01-02,1578282420,4695,3110,367,106
2020-01-03,1578282420,4589,3032,322,99
2020-01-04,1578282420,3370,2230,307,76
2020-01-05,1578282420,5782,3940,448,132
2020-01-06,1578564095,17774,13106,330,432
2020-01-07,1578564096,5737,3873,337,133
2020-01-08,1578564096,11615,8284,436,271
2020-01-09,1578892753,3474,2315,208,76
2020-01-10,1578892754,5048,3334,254,113
2020-01-11,1578892754,3280,2152,234,73
2020-01-12,1578892754,5723,3776,455,128
2020-01-13,1579410432,11055,7911,495,267
2020-01-14,1579410432,16888,12362,415,402
2020-01-15,1579410432,9669,6956,300,229
2020-01-16,1579410433,5549,3872,317,137
2020-01-17,1579410433,5947,4121,268,138
2020-01-18,1579410433,3823,2500,418,88
2020-01-19,1579493362,5360,3545,280,117
2020-01-20,1579669026,8021,5426,476,183
2020-01-21,1579857089,8274,5789,461,198
2020-01-22,1579857090,6327,4261,361,142
2020-01-23,1579857090,11705,8458,453,291
2020-01-24,1579926840,9383,6333,534,203
2020-01-25,1580105038,7607,5145,615,175
2020-01-26,1580105038,14228,9981,653,324
2020-01-27,1580534811,13284,9493,267,311
2020-01-28,1580534811,3582,2342,286,79
2020-01-29,1580534811,12993,9058,661,298
2020-01-30,1580534811,17211,11912,726,385
2020-01-31,1580534812,13850,9478,727,302
2020-02-01,1580632273,9688,6885,489,227
