Body
Date,Weight,BMI,Fat
"01-01-2020","60.3","21.11","15"
"02-01-2020","60.33","21.12","15"
"03-01-2020","60.36","21.13","15"
"04-01-2020","60.39","21.14","15"
"05-01-2020","60.42","21.15","15"
"06-01-2020","60.45","21.17","15"
"07-01-2020","60.48","21.18","15"
"08-01-2020","60.51","21.19","15"
"09-01-2020","60.54","21.2","15"
"10-01-2020","60.57","21.21","15"
"11-01-2020","60.6","21.22","15"
"12-01-2020","60.63","21.23","15"
"13-01-2020","60.66","21.24","15"
"14-01-2020","60.69","21.25","15"
"15-01-2020","60.72","21.26","15"
"16-01-2020","60.75","21.27","15"
"17-01-2020","60.78","21.28","15"
"18-01-2020","60.81","21.29","15"
"19-01-2020","60.84","21.3","15"
"20-01-2020","60.87","21.31","15"
"21-01-2020","60.9","21.32","15"
"22-01-2020","60.93","21.33","15"
"23-01-2020","60.96","21.34","15"
"24-01-2020","61","21.36","15"
"25-01-2020","61","21.36","15"
"26-01-2020","61","21.36","15"
"27-01-2020","61","21.36","15"
"28-01-2020","61","21.36","15"
"29-01-2020","61","21.36","15"
"30-01-2020","61","21.36","15"
"31-01-2020","61","21.36","15"

Foods
Date,Calories In
"01-01-2020","0"
"02-01-2020","0"
"03-01-2020","0"
"04-01-2020","0"
"05-01-2020","0"
"06-01-2020","0"
"07-01-2020","0"
"08-01-2020","0"
"09-01-2020","0"
"10-01-2020","0"
"11-01-2020","0"
"12-01-2020","0"
"13-01-2020","0"
"14-01-2020","0"
"15-01-2020","0"
"16-01-2020","0"
"17-01-2020","0"
"18-01-2020","0"
"19-01-2020","0"
"20-01-2020","0"
"21-01-2020","0"
"22-01-2020","0"
"23-01-2020","0"
"24-01-2020","0"
"25-01-2020","0"
"26-01-2020","0"
"27-01-2020","0"
"28-01-2020","0"
"29-01-2020","0"
"30-01-2020","0"
"31-01-2020","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"01-01-2020","1,561","0","0","0","1,440","0","0","0","0"
"02-01-2020","2,201","5,169","3.83","13","1,250","172","11","7","758"
"03-01-2020","2,519","8,569","6.11","18","1,093","272","4","10","1,170"
"04-01-2020","2,407","6,527","4.58","20","710","217","20","13","1,028"
"05-01-2020","2,334","6,107","4.28","23","699","203","22","0","905"
"06-01-2020","2,616","7,445","5.22","22","634","276","20","11","1,286"
"07-01-2020","2,200","4,790","3.36","14","727","171","6","6","740"
"08-01-2020","2,543","7,649","5.36","12","732","284","0","0","1,141"
"09-01-2020","2,462","8,255","5.81","19","690","263","0","0","1,069"
"10-01-2020","2,351","7,433","5.27","21","665","213","12","5","939"
"11-01-2020","2,494","8,363","5.86","25","623","265","13","0","1,143"
"12-01-2020","2,622","7,861","5.6","18","619","270","29","5","1,275"
"13-01-2020","2,722","8,732","6.12","18","652","330","17","0","1,453"
"14-01-2020","2,432","6,652","4.66","10","628","258","13","0","1,049"
"15-01-2020","2,768","12,001","8.7","26","785","278","14","26","1,428"
"16-01-2020","2,348","6,246","4.38","26","652","246","0","0","945"
"17-01-2020","2,600","5,591","3.75","12","557","227","16","29","1,234"
"18-01-2020","2,353","5,331","3.74","18","759","220","8","7","938"
"19-01-2020","2,284","5,374","3.63","16","508","182","19","8","862"
"20-01-2020","2,666","8,694","5.97","25","588","262","29","13","1,352"
"21-01-2020","2,504","8,546","5.89","24","623","218","22","21","1,141"
"22-01-2020","2,541","8,688","5.94","24","716","229","51","6","1,206"
"23-01-2020","2,583","8,763","6.4","41","754","228","31","19","1,200"
"24-01-2020","2,331","6,960","5.53","28","723","158","25","27","924"
"25-01-2020","2,329","7,380","5.25","36","876","207","7","7","924"
"26-01-2020","2,899","11,156","7.73","25","729","353","24","22","1,661"
"27-01-2020","2,953","11,779","8.6","27","688","281","67","21","1,657"
"28-01-2020","2,452","6,553","4.71","25","903","211","24","18","1,063"
"29-01-2020","2,997","12,934","8.95","51","634","284","50","37","1,710"
"30-01-2020","2,709","11,358","7.99","39","747","284","16","20","1,379"
"31-01-2020","2,784","10,980","7.81","31","771","253","40","34","1,474"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"31-01-2020 12:59AM","31-01-2020 6:41AM","300","42","18","342","39","214","47"
"30-01-2020 12:31AM","30-01-2020 6:44AM","328","45","20","373","65","180","83"
"28-01-2020 10:57PM","29-01-2020 6:12AM","381","54","23","435","78","249","54"
"28-01-2020 12:56AM","28-01-2020 5:40AM","252","32","13","284","41","137","74"
"27-01-2020 5:58PM","27-01-2020 9:01PM","163","20","12","183","46","87","30"
"27-01-2020 1:53AM","27-01-2020 5:13AM","176","24","10","200","27","83","66"
"26-01-2020 1:22AM","26-01-2020 6:34AM","274","38","18","312","28","183","63"
"25-01-2020 1:18AM","25-01-2020 7:01AM","310","33","21","343","79","159","72"
"24-01-2020 7:40PM","24-01-2020 9:47PM","116","11","0","127","N/A","N/A","N/A"
"24-01-2020 12:41AM","24-01-2020 7:01AM","334","46","23","380","59","198","77"
"23-01-2020 1:16AM","23-01-2020 8:04AM","344","64","20","408","67","223","54"
"22-01-2020 1:00AM","22-01-2020 8:18AM","376","62","26","438","75","227","74"
"21-01-2020 12:42AM","21-01-2020 9:58AM","527","29","2","556","N/A","N/A","N/A"
"20-01-2020 12:25PM","20-01-2020 1:27PM","62","0","0","62","N/A","N/A","N/A"
"20-01-2020 12:03AM","20-01-2020 8:10AM","394","92","28","486","63","259","72"
"19-01-2020 3:25PM","19-01-2020 6:08PM","148","11","0","163","N/A","N/A","N/A"
"19-01-2020 12:09AM","19-01-2020 9:29AM","492","68","25","560","105","315","72"
"18-01-2020 2:01AM","18-01-2020 9:28AM","401","45","30","446","71","261","69"
"17-01-2020 2:50PM","17-01-2020 5:26PM","134","21","1","156","N/A","N/A","N/A"
"17-01-2020 12:41AM","17-01-2020 8:17AM","374","81","31","455","44","261","69"
"15-01-2020 11:34PM","16-01-2020 8:36AM","484","58","25","542","100","276","108"
"15-01-2020 1:15AM","15-01-2020 6:53AM","295","42","21","337","33","192","70"
"14-01-2020 12:39AM","14-01-2020 9:41AM","485","56","32","541","67","310","108"
"12-01-2020 11:45PM","13-01-2020 7:21AM","417","39","4","456","N/A","N/A","N/A"
"12-01-2020 12:55AM","12-01-2020 9:18AM","437","66","30","503","88","283","66"
"11-01-2020 12:23AM","11-01-2020 9:22AM","470","69","31","539","77","288","105"
"10-01-2020 12:12AM","10-01-2020 9:17AM","440","105","32","545","79","280","81"
"09-01-2020 12:50AM","09-01-2020 8:57AM","425","62","28","487","60","318","47"
"08-01-2020 12:45AM","08-01-2020 7:49AM","360","64","19","424","71","221","68"
"07-01-2020 2:31PM","07-01-2020 5:18PM","159","7","0","166","N/A","N/A","N/A"
"07-01-2020 1:22AM","07-01-2020 7:26AM","310","54","23","364","70","147","93"
"06-01-2020 12:34AM","06-01-2020 8:53AM","429","70","30","499","84","272","73"
"05-01-2020 12:59AM","05-01-2020 9:36AM","453","63","26","516","102","276","75"
"03-01-2020 10:59PM","04-01-2020 8:00AM","506","26","2","541","N/A","N/A","N/A"

Food Log 20200101
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20200102
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20200103
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20200104
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20200105
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20200106
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20200107
Daily Totals
"","Calories","0"
"","Fat","0 g"
"","Fiber","0 g"
"","Carbs","0 g"
"","Sodium","0 mg"
"","Protein","0 g"
"","Water","0 ml"

Food Log 20200108
Daily Totals
